quarter,revenue,cogs,apple_pct,samsung_pct,total_assets,total_equity
2023_Q1,14793.0,13209.4,0.6083,0.1889,20727.3,7425.9
2023_Q2,14104.0,12610.0,0.4690,0.1847,20772.0,7305.0
2023_Q3,13919.0,12513.0,0.4141,0.1813,21558.0,7778.0
2023_Q4,17323.4,15359.2,0.4100,0.1582,20447.5,8130.8
2024_Q1,15450.0,13830.0,0.5249,0.1734,22350.0,7700.0
2024_Q2,16010.0,14330.0,0.4479,0.1552,22700.0,7750.0
2024_Q3,16780.0,15020.0,0.4080,0.1598,23150.0,7950.0
2024_Q4,16672.7,14832.0,0.3622,0.1545,21774.4,9057.4
2025_Q1,15882.0,14088.0,0.5755,0.2051,28353.0,9306.0
2025_Q2,19164.0,16995.0,0.4735,0.1584,28455.0,9422.0
2025_Q3,17318.0,15436.0,0.4497,0.1718,28567.0,9640.0
2025_Q4,24243.9,21737.6,0.4334,0.1533,28856.5,10177.3
2026_Q1,22413.0,20025.0,0.4129,0.1749,31586.0,10952.0
2026_Q2,20482.4,18074.6,0.3194,0.1646,29348.8,10944.6
