38 Provinsi (2022=100),,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100) (Persen),,,,,,,,,,,,
,2026,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
PROV ACEH,-0.15,-0.24,0.04,0.23,0.6,0.56,0.24,-,-,-,-,-,-
PROV SUMATERA UTARA,-0.75,0.22,-0.13,0.44,0.89,0.23,0.19,-,-,-,-,-,-
PROV SUMATERA BARAT,-1.15,0.3,0.04,0.39,0.9,0.5,0.07,-,-,-,-,-,-
PROV RIAU,-0.45,0.32,-0.2,0.17,0.76,0.35,-0.08,-,-,-,-,-,-
PROV JAMBI,-0.47,0.58,0.14,0.27,0.75,0.52,-0.06,-,-,-,-,-,-
PROV SUMATERA SELATAN,0.05,0.58,0.29,-0.04,0.61,0.36,-0.24,-,-,-,-,-,-
PROV BENGKULU,-0.75,0.66,0.28,0.35,0.86,0.38,0.23,-,-,-,-,-,-
PROV LAMPUNG,-0.07,0.36,0.19,0.55,0.82,0.55,-0.49,-,-,-,-,-,-
PROV KEPULAUAN BANGKA BELITUNG,0.28,-0.64,0.41,0.39,0.06,0.35,0.35,-,-,-,-,-,-
PROV KEPULAUAN RIAU,-0.09,0.44,0.08,0.43,0.38,0.6,-0.23,-,-,-,-,-,-
PROV DKI JAKARTA,-0.23,0.63,0.51,0.21,0.12,0.41,-0.15,-,-,-,-,-,-
PROV JAWA BARAT,-0.09,0.81,0.52,-0.07,0.24,0.28,-0.05,-,-,-,-,-,-
PROV JAWA TENGAH,-0.35,0.76,0.57,-0.03,0.23,0.31,-0.13,-,-,-,-,-,-
PROV DI YOGYAKARTA,-0.16,0.68,0.45,0.09,0.15,0.37,-0.31,-,-,-,-,-,-
PROV JAWA TIMUR,-0.2,0.95,0.39,0.02,0.28,0.3,-0.26,-,-,-,-,-,-
PROV BANTEN,-0.34,0.93,0.47,-0.08,0.01,0.41,-0.22,-,-,-,-,-,-
PROV BALI,-0.34,0.7,0.56,0.01,0.42,0.71,-0.51,-,-,-,-,-,-
PROV NUSA TENGGARA BARAT,0.27,0.84,0.81,-0.11,-0.08,0.37,-0.35,-,-,-,-,-,-
PROV NUSA TENGGARA TIMUR,0.65,0.45,0.25,0.43,-0.26,0.67,-0.14,-,-,-,-,-,-
PROV KALIMANTAN BARAT,0.27,0.51,0.25,0.57,0.32,0.31,0.38,-,-,-,-,-,-
PROV KALIMANTAN TENGAH,0.38,0.46,0.54,0.41,0.34,0.23,0.23,-,-,-,-,-,-
PROV KALIMANTAN SELATAN,0.2,0.86,0.5,-0.04,0.2,0.48,0.03,-,-,-,-,-,-
PROV KALIMANTAN TIMUR,0.04,0.6,0.72,0.11,0.17,0.7,0.18,-,-,-,-,-,-
PROV KALIMANTAN UTARA,0.1,0.47,0.57,0.02,0.27,0.45,-0.68,-,-,-,-,-,-
PROV SULAWESI UTARA,0.67,1.02,0.25,0.96,-0.61,2.12,-1.05,-,-,-,-,-,-
PROV SULAWESI TENGAH,0.01,0.8,0.38,0.51,0.27,1.08,0.02,-,-,-,-,-,-
PROV SULAWESI SELATAN,0.47,1.04,0.59,-0.03,0.09,0.36,-0.18,-,-,-,-,-,-
PROV SULAWESI TENGGARA,0.69,0.65,0.41,0.5,0.92,1.29,-0.19,-,-,-,-,-,-
PROV GORONTALO,0.28,0.83,0.24,0.74,-0.96,2.11,-0.43,-,-,-,-,-,-
PROV SULAWESI BARAT,0.71,0.29,0.08,0.24,0.11,0.48,0.23,-,-,-,-,-,-
PROV MALUKU,0.75,0.58,-0.75,-0.17,0.93,1.49,-0.75,-,-,-,-,-,-
PROV MALUKU UTARA,1.48,0.83,-0.54,0.8,0.05,2.45,-0.67,-,-,-,-,-,-
PROV PAPUA BARAT,0.02,-0.65,0.05,2,0.56,1.59,-0.2,-,-,-,-,-,-
PROV PAPUA BARAT DAYA,0.19,-0.57,1.04,0.66,-0.01,1.71,-0.1,-,-,-,-,-,-
PROV PAPUA,-0.36,0.06,0.7,0.98,-0.68,1,-1.31,-,-,-,-,-,-
PROV PAPUA SELATAN,1.06,0.59,0.35,0.94,-0.5,0.43,-0.03,-,-,-,-,-,-
PROV PAPUA TENGAH,-0.29,-0.03,0.26,0.21,0.52,1.46,-0.17,-,-,-,-,-,-
PROV PAPUA PEGUNUNGAN,-0.05,0.49,2.57,0.77,0.48,1.7,-1.37,-,-,-,-,-,-
INDONESIA,-0.15,0.68,0.41,0.13,0.28,0.44,-0.14,-,-,-,-,-,-
